age,workclass,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
34,3,13,2,9,0,4,1,0,0,55,38,1
43,1,13,2,9,0,4,1,0,0,40,38,1
20,3,10,4,6,3,4,1,0,0,40,38,0
34,3,9,0,6,1,4,1,0,0,30,38,0
44,6,14,2,3,0,4,1,0,1902,40,38,1
35,3,10,2,2,0,4,1,0,0,40,38,0
35,3,10,4,7,1,4,0,0,0,65,38,0
31,3,16,2,9,0,4,1,0,1977,99,38,1
59,3,7,0,4,1,4,1,0,0,40,38,0
28,3,9,2,2,0,4,1,0,0,40,30,1
25,5,10,2,2,0,4,1,3103,0,50,38,1
37,5,10,4,2,1,4,1,0,0,40,38,0
22,3,12,4,0,3,4,0,0,0,27,38,0
32,3,9,2,9,0,4,1,0,0,5,38,0
28,3,6,5,9,1,4,1,0,0,80,38,0
32,6,15,2,9,0,4,1,0,0,75,38,1
23,3,7,2,7,0,4,1,0,0,40,38,0
53,0,9,2,0,5,4,0,7688,0,35,38,1
75,3,9,6,0,1,4,0,0,0,40,38,0
43,3,5,4,6,4,2,0,0,625,40,38,0
33,3,10,2,7,0,4,1,0,0,40,38,0
38,3,9,0,6,1,4,1,0,0,45,38,0
29,3,9,2,6,0,4,1,0,0,40,38,0
20,3,10,4,9,3,4,1,0,0,20,38,0
29,6,14,4,3,1,4,1,0,0,40,38,0
35,3,13,2,9,0,1,1,0,0,40,29,1
28,3,13,4,9,1,4,1,0,0,55,38,1
43,3,9,2,2,0,4,1,0,0,44,38,0
58,3,7,2,2,0,4,1,0,0,40,38,0
66,4,5,2,3,0,4,1,1409,0,1,38,0
50,4,10,2,3,0,4,1,0,0,99,38,1
69,5,10,2,2,0,4,1,9386,0,72,38,1
38,1,10,4,9,3,4,1,0,0,40,38,0
34,3,10,2,3,5,4,0,0,1887,40,38,1
61,5,9,2,3,0,4,1,0,1887,40,38,1
38,3,10,0,11,4,2,0,0,0,40,38,0
53,3,13,2,9,0,4,1,0,0,30,38,1
55,3,4,6,7,4,4,0,0,0,20,38,0
25,3,13,2,0,5,2,0,0,0,38,38,0
42,3,9,0,3,1,4,0,0,0,40,38,1
45,5,10,2,3,0,0,1,0,0,40,38,0
55,3,13,2,3,0,4,1,0,0,50,38,1
36,3,13,2,9,0,1,1,0,0,55,23,1
22,3,10,4,11,3,4,0,0,0,15,38,0
28,3,13,4,11,2,4,0,0,0,45,38,0
29,3,14,4,9,1,4,1,0,0,55,33,0
45,1,14,2,9,5,4,0,0,0,45,38,1
47,3,10,2,6,0,1,1,3103,0,40,29,1
42,6,9,2,3,0,4,1,0,0,40,38,1
46,3,14,2,0,0,4,1,0,1740,60,38,0
46,3,10,2,11,0,4,1,0,0,40,38,0
43,3,14,0,3,4,4,0,0,2547,40,38,1
29,3,9,2,2,0,4,1,0,0,60,38,0
29,6,10,4,7,3,4,0,0,0,40,38,0
62,6,14,5,9,4,4,0,0,0,24,38,0
45,6,14,2,9,0,4,1,0,0,45,38,1
56,3,10,2,6,0,4,1,0,0,40,38,0
59,1,14,6,9,4,4,0,4787,0,60,38,1
41,1,10,0,3,4,4,0,0,0,25,38,0
34,3,9,2,6,0,2,1,0,0,40,38,0
44,1,14,4,9,1,4,0,0,0,40,38,0
42,3,9,0,2,4,4,0,0,0,40,38,0
42,5,9,2,4,0,4,1,0,0,50,38,0
20,1,9,2,10,0,2,1,0,0,30,32,0
27,3,10,0,0,4,2,0,0,0,36,38,0
25,3,13,4,11,1,4,0,6849,0,50,38,0
40,3,6,0,6,1,2,0,0,0,40,38,0
37,5,9,2,11,0,4,1,0,0,45,38,0
24,3,10,4,11,1,2,1,0,0,40,22,0
53,3,9,2,3,0,4,1,0,0,35,38,1
48,3,4,2,6,0,4,1,0,0,40,38,0
58,5,9,2,11,0,4,1,15024,0,40,38,1
56,3,10,2,2,0,4,1,0,0,50,38,1
42,3,9,4,8,1,4,0,0,0,40,38,0
53,3,5,2,7,0,4,1,0,0,40,5,0
23,0,9,4,9,1,4,1,0,0,40,38,0
40,3,9,4,4,1,4,1,0,0,40,38,0
42,3,9,2,2,0,2,1,7688,0,45,38,1
33,3,4,2,2,0,4,1,0,0,40,38,0
25,3,9,4,5,1,4,1,0,0,45,38,0
46,3,16,2,9,0,4,1,0,2415,55,38,1
51,3,9,2,2,0,4,1,0,0,40,38,0
37,3,9,2,2,0,4,1,0,0,40,38,0
20,3,9,4,10,3,2,1,0,0,40,38,0
61,3,9,2,7,0,4,1,0,0,40,38,0
34,4,11,0,11,4,4,0,0,0,40,38,0
17,3,7,4,11,3,2,0,0,0,15,38,0
35,3,13,2,5,0,4,1,7298,0,35,38,1
49,6,11,0,0,1,2,0,0,0,44,38,0
27,3,10,4,0,4,4,0,0,0,50,38,0
26,3,12,4,6,2,4,0,0,0,15,38,0
47,3,12,2,9,5,2,0,15024,0,40,38,1
44,3,9,2,7,0,4,1,0,0,25,25,0
28,3,10,4,11,2,4,0,0,0,40,38,0
20,3,9,4,6,3,4,1,0,0,40,38,0
20,3,10,4,0,3,4,0,0,0,46,38,0
34,3,12,0,6,1,4,1,0,0,40,38,0
61,1,9,6,9,1,4,0,0,0,40,38,0
30,3,8,0,7,1,4,0,0,0,40,38,0
53,3,10,2,2,0,4,1,0,0,40,38,1
47,3,9,2,13,0,4,1,0,0,60,38,0
18,3,9,2,0,5,4,0,0,0,40,38,0
22,3,10,4,7,3,2,1,0,0,40,38,0
33,3,9,2,7,0,2,1,0,0,40,38,0
27,3,13,4,0,1,4,0,0,0,65,38,0
31,6,13,0,9,1,4,1,0,0,40,38,0
41,3,9,2,11,0,4,1,0,0,49,38,1
35,3,10,2,2,0,2,1,0,0,50,22,1
41,4,13,2,11,0,4,1,7688,0,45,38,1
25,3,13,4,0,1,4,1,0,0,30,38,0
47,3,9,2,13,0,4,1,0,0,55,38,1
42,6,13,0,0,1,4,1,0,0,40,38,0
25,3,6,4,2,1,4,1,0,0,40,38,0
24,3,10,2,0,0,4,1,7298,0,40,38,1
25,3,10,4,10,1,4,1,0,0,60,38,0
29,1,14,2,9,0,4,1,0,0,50,38,0
30,3,10,4,2,4,2,1,0,0,40,38,0
63,5,11,2,7,0,4,1,0,0,45,38,0
17,3,6,4,7,3,4,0,0,0,10,38,0
25,3,12,2,5,0,2,1,0,0,40,22,0
39,6,9,2,0,5,1,0,3464,0,20,38,0
41,4,9,2,11,0,4,1,0,1887,55,38,1
38,3,9,0,0,4,4,0,0,0,48,38,0
21,3,7,4,12,3,4,0,0,0,35,38,0
36,3,9,0,9,3,4,0,0,0,40,38,1
45,1,13,0,9,4,4,0,0,0,40,38,0
55,3,10,6,4,1,4,1,0,2258,62,38,1
26,3,10,2,13,0,4,1,0,0,52,38,1
24,3,10,2,0,5,1,0,0,0,40,24,0
27,3,10,4,12,1,4,0,0,0,30,38,0
25,0,10,2,3,0,4,1,0,0,40,38,1
48,3,12,2,6,0,4,1,0,0,40,38,0
23,3,13,4,3,4,4,1,0,0,40,38,0
44,1,13,2,10,0,4,1,0,0,40,38,1
58,4,13,2,9,0,4,1,0,0,40,38,0
27,3,4,2,13,0,4,1,0,0,45,38,0
18,3,7,4,5,3,4,1,0,0,40,38,0
29,3,9,2,5,0,0,1,0,0,40,38,0
25,3,13,2,3,0,4,1,0,0,55,38,1
29,6,9,2,2,0,4,1,0,0,40,38,1
50,3,9,2,11,5,2,0,0,0,40,38,0
44,3,9,0,6,3,4,1,0,0,40,38,0
67,3,14,4,7,1,4,0,0,0,40,38,0
21,5,10,4,0,3,4,1,0,0,30,38,0
19,3,10,4,7,3,4,0,0,0,25,38,0
52,4,9,2,3,5,4,0,15024,0,40,38,1
34,3,9,4,7,1,1,1,0,0,40,23,0
58,3,9,2,2,0,4,1,0,0,40,38,0
66,3,9,2,7,0,2,1,0,0,4,38,0
20,3,10,4,9,3,4,0,0,0,5,38,0
27,3,15,2,9,0,4,1,0,0,42,38,1
33,3,9,2,2,0,4,1,0,0,40,38,0
34,3,10,2,9,0,2,1,0,0,40,22,1
40,3,12,0,0,4,4,0,0,0,40,38,0
50,3,13,2,9,0,4,1,0,0,43,38,1
42,3,10,4,6,1,4,0,0,0,40,38,0
46,3,10,2,3,5,4,0,0,0,40,38,1
36,3,13,2,11,0,4,1,0,1977,35,38,1
18,3,7,4,5,1,4,1,0,0,25,38,0
36,4,13,2,3,5,4,0,0,1977,45,38,1
28,3,4,0,9,3,4,1,0,0,84,38,0
44,3,10,2,11,0,1,1,0,1902,40,38,1
37,5,11,4,4,3,4,1,0,0,84,38,0
27,3,9,2,2,0,4,1,0,0,40,38,0
61,3,9,2,7,5,4,0,0,0,4,38,0
20,3,9,4,9,1,4,1,0,0,40,38,0
29,3,11,4,9,1,4,1,0,0,43,38,0
24,3,13,4,9,1,4,0,0,0,40,38,0
47,3,9,2,7,5,4,0,0,0,38,38,0
41,3,13,0,9,1,4,0,0,0,50,38,1
26,0,9,4,0,1,1,1,0,0,40,38,0
34,3,9,0,2,1,4,1,3325,0,35,38,0
37,3,7,4,13,1,4,1,0,0,60,38,1
39,3,5,5,2,3,4,1,0,0,35,25,0
36,3,14,2,9,0,4,1,0,0,60,38,1
36,6,14,4,9,3,4,0,0,0,30,38,0
57,3,10,2,9,0,4,1,0,0,40,38,1
40,3,9,4,7,1,4,0,0,0,40,38,0
46,3,12,0,9,4,4,0,0,0,40,38,0
17,3,7,4,0,3,4,0,0,0,8,38,0
56,3,13,2,11,0,4,1,0,0,40,38,1
41,3,4,2,7,0,4,1,0,0,40,38,0
63,3,13,2,11,0,4,1,0,1740,35,38,0
38,3,10,4,7,3,2,0,0,0,40,38,0
69,5,4,2,11,0,4,1,0,0,55,38,0
33,3,9,4,7,1,2,1,0,0,38,38,0
33,3,5,2,5,0,4,1,0,0,40,38,0
49,3,13,4,3,1,4,1,0,0,45,38,1
40,1,15,4,3,1,4,1,0,0,60,38,1
50,5,10,2,2,0,4,1,0,0,35,38,0
29,6,14,2,9,0,4,1,0,0,15,38,0
54,5,12,2,11,0,4,1,0,0,50,38,1
27,3,11,0,0,4,4,0,0,0,40,38,0
65,3,9,6,9,4,4,0,2329,0,75,38,0
30,3,13,0,3,1,1,0,0,0,40,2,0
41,3,9,2,0,5,4,0,0,0,40,38,0
32,4,9,2,3,0,4,1,0,0,45,38,0
50,3,16,2,9,0,4,1,0,1902,65,38,1
25,3,9,2,0,5,4,0,0,0,50,38,1
66,3,13,2,11,0,4,1,20051,0,40,38,1
21,3,10,4,7,3,4,0,0,0,30,38,0
51,4,10,2,3,0,4,1,0,0,50,38,1
36,3,9,4,6,4,0,0,0,0,40,38,0
18,3,9,4,5,3,4,0,0,0,25,38,0
25,3,10,2,0,0,4,1,0,0,45,38,0
18,1,8,4,9,3,4,1,0,0,30,38,0
41,0,10,2,3,0,2,1,0,0,40,38,1
46,0,13,0,9,4,4,0,0,0,50,38,1
35,3,9,2,3,0,4,1,0,0,48,38,0
56,3,9,2,2,0,4,1,0,0,40,38,0
33,3,10,3,9,1,4,1,0,0,40,38,0
29,3,9,0,7,4,4,0,0,0,36,38,0
56,3,9,2,0,0,4,1,0,0,40,38,0
22,3,9,2,2,0,4,1,0,0,40,38,0
32,3,11,4,2,1,4,1,0,0,44,20,0
42,3,9,2,5,0,4,1,0,0,40,38,1
27,3,9,2,5,0,2,1,0,0,40,38,0
25,5,9,4,4,1,4,1,0,0,50,38,0
67,3,10,6,11,1,4,0,0,0,25,26,0
25,3,3,2,6,0,3,1,0,0,40,25,0
47,5,10,2,2,0,4,1,0,0,40,38,0
26,3,10,4,5,3,4,1,0,0,40,38,0
39,3,11,0,0,4,2,0,0,0,40,38,0
28,3,13,4,9,1,4,1,0,0,60,38,1
42,3,9,2,6,0,4,1,0,0,40,25,0
43,3,10,2,0,0,4,1,0,0,40,38,0
31,5,13,4,12,1,4,0,0,0,40,38,0
71,3,9,2,9,0,4,1,0,0,40,38,0
34,3,13,2,3,5,4,0,0,0,40,38,0
29,3,10,0,9,3,2,1,0,0,40,38,0
24,3,9,4,7,1,4,0,2174,0,40,38,0
43,3,9,2,2,0,4,1,0,0,70,38,0
20,3,10,4,13,3,4,1,0,0,40,38,0
38,1,10,2,2,0,4,1,0,0,45,38,0
44,5,9,2,2,0,4,1,0,0,30,38,0
25,3,13,4,12,1,4,0,0,0,50,38,0
56,3,9,0,13,1,4,1,0,0,30,38,0
61,5,15,2,9,0,4,1,0,0,50,38,1
39,3,9,4,7,1,4,1,0,0,18,38,0
18,3,10,4,7,3,4,0,0,0,24,38,0
41,3,9,2,6,0,4,1,0,0,40,38,0
33,3,9,2,2,0,4,1,0,0,40,38,0
36,3,9,2,9,0,4,1,0,2377,60,38,0
60,3,9,2,9,0,4,1,0,1485,70,38,1
33,3,10,4,6,1,2,1,0,0,40,38,0
65,3,10,2,3,5,4,0,0,0,40,38,0
53,3,2,2,7,0,2,1,0,0,35,32,0
36,3,9,2,2,0,1,1,0,0,40,18,0
59,3,10,0,7,4,4,0,0,0,32,38,0
34,3,9,2,6,0,4,1,0,0,40,38,0
40,3,4,2,2,0,4,1,0,0,40,7,0
66,3,13,2,9,0,4,1,20051,0,40,38,1
19,3,10,4,0,3,4,1,0,0,10,36,0
31,3,9,4,11,2,4,1,0,0,40,38,0
53,3,14,4,9,1,4,0,8614,0,35,38,1
37,3,7,5,7,4,2,0,0,0,40,38,0
41,3,10,4,2,1,4,1,0,1408,40,38,0
32,3,12,0,6,1,4,0,0,0,50,38,0
32,3,13,2,3,5,4,0,0,0,40,38,1
35,3,13,2,0,0,1,1,0,0,40,29,1
39,3,13,2,11,0,4,1,0,0,50,38,1
22,3,13,4,3,3,4,1,0,0,40,38,0
29,3,10,2,13,0,4,1,0,0,40,38,0
37,3,13,4,9,1,4,1,10520,0,40,38,1
49,3,9,2,6,0,4,1,7298,0,43,38,1
42,3,10,2,3,0,4,1,7298,0,52,38,1
58,5,9,3,7,4,4,0,0,0,45,38,0
23,3,9,4,6,3,4,1,0,0,40,38,0
19,3,10,4,11,3,1,1,0,0,35,24,0
78,3,9,6,11,4,4,0,2329,0,12,38,0
35,3,9,2,0,5,4,0,4386,0,35,38,1
42,5,7,5,7,4,4,0,0,0,30,38,0
32,3,3,4,9,4,4,0,0,0,45,25,0
23,3,9,4,11,1,4,1,0,0,40,38,0
20,3,10,4,13,3,4,1,0,0,40,38,0
28,3,6,4,7,3,2,0,0,0,30,38,0
43,3,10,2,6,0,4,1,0,0,40,38,0
56,3,10,0,9,1,4,0,0,0,20,38,0
30,3,9,0,6,4,4,1,0,0,40,38,0
20,3,10,4,7,3,4,1,0,0,40,38,0
58,4,9,2,3,5,4,0,0,0,20,38,1
40,3,13,2,3,0,4,1,0,0,50,38,1
35,3,9,2,13,0,4,1,0,0,40,38,0
49,3,9,6,12,4,4,1,0,0,40,38,0
56,3,13,2,9,0,4,1,0,0,50,38,1
68,5,9,2,4,0,4,1,0,0,45,38,0
34,1,14,2,3,0,4,1,0,0,40,38,1
19,3,9,4,9,3,2,1,0,0,10,38,0
24,3,9,4,11,3,4,1,0,0,45,38,0
36,3,12,4,12,4,4,0,0,0,45,38,0
35,3,10,2,2,0,4,1,0,0,45,38,0
53,1,13,0,0,4,4,0,0,0,38,5,0
60,3,13,2,9,0,4,1,0,0,40,38,0
32,3,10,4,2,4,4,1,0,0,40,38,0
43,3,13,2,3,0,4,1,0,0,50,38,1
41,0,10,3,0,1,2,1,4650,0,40,38,0
39,3,6,4,7,4,4,0,0,0,25,25,0
34,3,9,2,13,0,0,1,0,0,52,38,0
44,3,10,2,6,0,4,1,0,0,40,38,0
26,3,9,4,11,1,4,0,0,0,38,38,0
26,3,10,2,11,0,4,1,0,0,50,38,0
43,3,9,0,0,2,4,0,0,0,40,38,0
63,3,7,2,11,0,4,1,0,0,22,38,0
41,3,10,2,2,0,4,1,0,0,60,38,0
57,0,10,0,7,1,4,1,0,0,40,38,0
38,3,13,4,4,1,4,1,0,0,40,38,0
20,4,9,4,6,3,4,0,0,0,30,38,0
47,3,3,4,6,3,4,1,0,0,20,38,0
47,6,14,5,9,1,4,1,0,0,38,38,0
35,3,10,0,0,4,4,0,0,0,55,38,0
45,1,15,0,9,4,2,0,0,1726,40,38,0
49,6,10,2,6,0,4,1,0,0,40,38,1
56,1,10,2,0,5,4,0,0,0,15,38,0
44,3,12,4,2,1,4,1,0,0,25,38,0
62,3,10,6,3,1,4,0,0,0,16,38,0
47,3,3,4,8,3,4,0,0,0,40,7,0
48,3,10,2,11,0,2,1,0,0,8,38,0
57,0,11,4,12,1,4,1,0,0,40,38,0
28,3,5,0,9,1,2,0,0,0,40,38,0
54,3,6,0,9,4,4,1,14344,0,68,38,1
20,3,10,4,7,3,4,1,0,0,50,38,0
53,6,14,2,3,0,4,1,0,0,42,38,1
50,0,7,4,11,1,2,0,3674,0,40,38,0
43,3,9,2,0,5,4,0,0,0,40,38,1
27,3,13,4,11,3,4,0,0,0,40,38,0
24,3,10,4,7,1,4,0,0,0,40,38,0
18,3,8,4,5,3,4,1,0,0,20,38,0
31,3,14,0,7,1,3,0,0,0,30,38,0
29,6,13,2,3,0,4,1,7688,0,40,38,1
59,5,4,2,11,0,4,1,0,0,85,38,0
26,3,14,4,9,1,1,1,0,0,20,18,0
27,3,12,2,3,0,4,1,0,0,40,38,0
23,4,13,0,11,1,4,0,0,0,43,38,0
43,3,9,4,3,1,4,0,0,0,50,38,0
30,1,9,4,10,3,2,0,0,0,40,38,0
28,5,9,2,9,0,4,1,0,0,35,38,0
34,3,9,0,13,1,4,1,0,0,50,38,0
38,3,9,2,13,0,4,1,0,0,99,38,0
47,1,16,4,9,4,4,0,0,0,40,38,0
29,3,12,4,6,4,4,1,0,0,45,38,0
43,3,9,2,6,0,4,1,0,0,40,38,0
35,3,12,2,12,0,4,1,0,0,40,38,1
18,3,9,4,7,3,4,1,0,0,35,38,0
40,5,12,0,3,1,4,1,0,0,30,38,0
20,3,10,4,9,3,4,1,0,0,25,38,0
45,1,7,2,7,0,2,1,0,0,50,38,0
47,6,9,2,7,0,4,1,0,0,40,38,0
56,4,4,2,2,0,4,1,0,0,50,38,1
53,5,9,2,2,0,2,1,3103,0,72,38,0
37,3,10,0,0,4,4,0,0,0,45,38,0
46,3,11,2,9,0,4,1,0,0,60,38,0
28,5,9,2,3,0,4,1,0,0,40,30,0
51,3,4,0,6,1,4,0,0,0,48,38,0
51,3,5,2,2,0,4,1,0,0,50,38,1
19,3,10,4,11,3,4,0,0,0,9,38,0
26,3,10,4,11,1,4,0,0,0,37,38,0
52,3,11,2,7,5,4,0,0,0,20,38,1
46,3,13,4,11,1,4,1,0,1504,40,38,0
67,1,9,0,10,1,2,1,0,0,20,38,0
62,3,14,2,9,5,4,0,0,0,40,38,0
57,1,13,2,9,0,4,1,0,1902,40,38,1
46,1,13,0,9,1,4,0,4787,0,25,38,1
29,3,13,2,9,0,4,1,0,0,25,38,0
38,3,13,2,3,0,4,1,0,0,63,38,1
56,3,9,2,0,0,4,1,0,0,35,38,0
30,3,15,0,11,3,4,1,0,0,55,38,0
43,1,9,2,2,0,4,1,0,0,40,38,0
45,3,10,6,3,4,4,0,0,0,55,38,0
23,1,13,4,9,1,4,0,0,0,40,38,0
42,3,10,2,9,0,4,1,15024,0,32,38,1
19,3,9,4,11,3,4,0,0,0,8,38,0
58,3,9,6,0,1,4,0,0,0,40,38,1
38,3,9,2,0,0,4,1,0,0,60,38,1
51,3,10,2,3,0,4,1,0,0,40,38,0
55,3,16,2,9,0,4,1,15024,0,30,38,1
43,3,13,2,3,0,4,1,0,1977,50,38,1
60,5,3,2,4,0,4,1,0,0,40,38,0
34,3,10,2,2,0,1,1,0,0,40,29,0
29,3,15,4,9,2,4,1,0,0,50,38,0
69,6,10,6,0,1,4,0,0,810,38,38,0
28,3,2,2,6,0,4,1,0,0,43,25,0
43,3,10,2,10,0,3,1,0,0,32,38,0
31,3,5,4,2,1,3,1,0,0,45,38,0
40,3,10,2,0,5,4,0,7298,0,40,38,1
44,3,9,2,2,0,4,1,0,0,40,38,1
32,3,11,2,2,0,4,1,0,0,45,38,0
29,3,5,2,2,0,4,1,0,0,40,38,0
27,3,9,4,6,3,2,0,0,0,40,38,0
34,3,13,2,11,0,4,1,7298,0,60,38,1
39,3,4,4,7,3,4,1,0,0,40,25,0
25,5,13,2,3,5,4,0,0,0,40,38,0
29,3,9,2,4,0,4,1,0,0,60,38,0
38,3,13,2,3,0,4,1,0,0,40,38,1
40,3,10,2,2,0,4,1,0,0,44,38,0
34,3,10,2,3,0,4,1,0,0,50,38,1
35,3,9,5,0,1,4,0,0,0,40,38,0
33,3,7,0,3,4,4,0,0,0,40,38,1
39,5,13,4,11,3,1,1,0,0,60,19,0
41,3,9,4,0,2,4,0,0,0,40,38,0
40,3,9,2,7,0,4,1,0,0,45,38,0
29,3,10,2,0,5,4,0,0,0,40,38,1
44,3,10,2,11,0,4,1,0,0,60,38,1
45,3,10,0,2,1,4,1,0,0,40,38,0
31,3,9,2,0,5,4,0,0,0,27,38,0
24,3,7,2,11,0,4,1,0,0,40,38,0
49,3,14,2,9,5,4,0,0,0,50,38,1
51,3,9,5,6,1,4,1,0,1876,40,38,0
55,4,13,2,11,0,4,1,0,0,60,38,1
58,3,9,6,0,1,4,0,0,0,27,38,0
52,5,9,0,4,1,4,1,0,0,25,38,0
43,3,13,2,3,0,4,1,0,1977,50,38,1
52,3,9,5,0,2,4,0,0,0,40,38,0
29,3,13,2,9,0,4,1,0,0,40,38,1
32,3,13,2,6,0,4,1,0,0,50,38,0
74,3,5,2,9,0,4,1,3471,0,40,38,0
19,3,10,4,5,3,4,1,0,0,20,38,0
42,5,15,2,9,0,4,1,0,0,38,38,1
48,3,14,2,9,0,4,1,0,0,40,4,1
38,3,13,2,11,0,4,1,7298,0,40,38,1
46,3,10,2,0,0,4,1,0,0,40,38,0
49,4,14,5,3,1,4,1,0,0,70,38,1
69,3,9,2,9,0,4,1,0,0,45,38,1
42,3,10,4,9,1,4,1,0,0,45,38,0
30,3,13,4,3,1,4,1,0,0,55,38,1
61,3,10,2,9,0,4,1,99999,0,30,38,1
33,3,13,2,9,0,4,1,0,0,25,38,1
33,3,10,4,2,1,2,1,8614,0,40,38,1
29,3,10,2,2,0,4,1,5013,0,40,38,0
19,3,10,4,0,2,2,0,0,0,38,38,0
31,3,9,2,2,0,4,1,0,0,40,38,0
30,3,9,2,2,0,4,1,0,0,70,38,0
21,3,10,4,0,1,4,0,0,0,40,38,0
36,5,9,0,13,1,4,1,0,0,60,38,0
18,3,9,4,11,3,4,0,0,0,24,38,0
26,3,10,4,9,3,1,1,0,0,40,29,0
41,3,9,4,11,1,4,0,0,0,50,38,0
28,5,13,2,11,5,4,0,0,0,5,38,0
40,3,13,2,0,0,4,1,0,0,40,38,1
